episode,reward,shortage,wastage,moving_avg_reward,moving_avg_shortage,moving_avg_wastage,epsilon,act_0_count,act_1_count,act_2_count,act_3_count,act_4_count
1,-1608.7088531361787,1303.9725687574526,450.74999999999966,-1608.7088531361787,1303.9725687574526,450.74999999999966,0.999,22.0,17.0,20.0,24.0,17.0
2,-2250.7248110672363,1346.5623005854445,526.3244561456388,-1929.7168321017075,1325.2674346714484,488.53722807281923,0.998001,26.0,22.0,18.0,11.0,23.0
3,-2131.8976493779764,1267.7437289566283,549.7517726042195,-1997.110437860464,1306.0928660998418,508.9420762499526,0.997002999,23.0,14.0,18.0,25.0,20.0
4,-1682.3019875496689,1161.8802451190631,481.48620178971765,-1918.408325282765,1270.0397108546472,502.07810763489385,0.996005996001,16.0,25.0,24.0,17.0,18.0
5,-2388.7421942638553,1359.9221115052012,561.845499468869,-2012.475099078983,1288.016190984758,514.0315860016889,0.995009990004999,13.0,20.0,24.0,19.0,24.0
6,-1939.8744507010558,1435.5413004673703,471.31250000000006,-2000.3749910159952,1312.60370923186,506.91173833474073,0.994014980014994,19.0,22.0,17.0,20.0,22.0
7,-1734.5031799702028,1253.910453313469,469.63750000000005,-1962.393303723739,1304.2189583863758,501.58684714406354,0.993020965034979,25.0,19.0,16.0,19.0,21.0
8,-1384.9097042219767,1156.2926188104489,456.47077600630405,-1890.2078537860189,1285.7281659393848,495.9473382518436,0.9920279440699441,18.0,29.0,21.0,18.0,14.0
9,-1845.7552972903566,1197.655419524071,479.0700066791718,-1885.2686808420565,1275.9423052265722,494.07207918821337,0.9910359161258742,25.0,17.0,24.0,13.0,21.0
10,-1786.9705006717702,1330.8725157123313,466.91172710327317,-1875.4388628250279,1281.435326275148,491.3560439797193,0.9900448802097482,24.0,18.0,22.0,15.0,21.0
11,-1456.575930439631,1230.7172869597543,460.50000000000006,-1837.3604144263554,1276.824595428294,488.55094907247206,0.9890548353295385,12.0,23.0,24.0,27.0,14.0
12,-1979.4242279472692,1268.6241115428556,518.9097016981917,-1849.1990655530983,1276.1412217711743,491.08084512461534,0.988065780494209,18.0,19.0,16.0,25.0,22.0
13,-1820.9380804036948,1172.3357733409282,497.5764304762227,-1847.025143618529,1268.15618727654,491.5805055362774,0.9870777147137147,23.0,17.0,21.0,21.0,18.0
14,-2077.9984247963685,1424.375194866755,506.09823097953495,-1863.5232351312318,1279.3146878186983,492.6174859250815,0.986090636999001,22.0,16.0,21.0,20.0,21.0
15,-2090.2844510045497,1202.0968889432174,514.4722727146141,-1878.6406495227864,1274.166834560333,494.07447171105036,0.9851045463620021,18.0,27.0,17.0,17.0,21.0
16,-1713.6977194425058,1248.0432082810523,477.9709015500748,-1868.3317163927686,1272.5341079178777,493.0679985759895,0.98411944181564,21.0,24.0,17.0,19.0,19.0
17,-1983.186838259738,1424.9662255064923,470.4874999999998,-1875.0879000320022,1281.5007030701493,491.7397339538725,0.9831353223738244,18.0,16.0,22.0,21.0,23.0
18,-2173.3332982900697,1365.4262939644188,529.9778646082921,-1891.657088824117,1286.1632358976085,493.8640745457847,0.9821521870514506,15.0,27.0,18.0,17.0,23.0
19,-2107.8192190692757,1227.3186643190227,549.8412225907417,-1903.0340430475464,1283.0661531829462,496.81024023236137,0.9811700348643991,17.0,20.0,22.0,17.0,24.0
20,-1719.1145385419293,1270.8517803985908,456.48671110452887,-1893.8380678222657,1282.4554345437286,494.7940637759698,0.9801888648295347,26.0,21.0,23.0,10.0,20.0
21,-2181.218259460109,1231.7366100705094,544.2003487535568,-1907.5228388526393,1280.0402524259564,497.1467440129977,0.9792086759647052,15.0,25.0,19.0,22.0,19.0
22,-1855.816437413137,1361.3526249420916,481.5375000000001,-1905.1725478781163,1283.7362693585078,496.43723292149787,0.9782294672887405,35.0,10.0,20.0,16.0,19.0
23,-2218.0540028206287,1258.7176851115037,535.3067152936019,-1918.7760893973561,1282.6485048260295,498.12721041593716,0.9772512378214517,22.0,13.0,30.0,11.0,24.0
24,-1991.971950322574,1227.6056805356495,515.9383776684766,-1921.825916935907,1280.35505381393,498.8693423847929,0.9762739865836303,16.0,19.0,27.0,14.0,24.0
25,-2444.593102510019,1315.0378539343299,562.9013971407904,-1942.7366043588713,1281.742365818746,501.4306245750329,0.9752977125970467,10.0,28.0,14.0,20.0,28.0
26,-1449.5812372526084,1194.2386440903142,462.22327111713696,-1923.7690902393997,1278.3768380599602,499.92264944203686,0.9743224148844496,18.0,19.0,22.0,23.0,18.0
27,-1700.9084999552108,1379.338999970141,459.8999999999999,-1915.5149943029483,1282.1161773899669,498.44032909233175,0.9733480924695651,24.0,17.0,20.0,20.0,19.0
28,-1491.2058893477686,1292.8039262318453,449.99999999999994,-1900.3610976974062,1282.4978827057482,496.7103173390342,0.9723747443770956,17.0,21.0,30.0,16.0,16.0
29,-1549.4510012473957,1261.5604200896753,451.1103711128831,-1888.2607495439574,1281.7759012362287,495.1379054002014,0.9714023696327185,25.0,15.0,21.0,18.0,21.0
30,-2220.337755803331,1285.9936895220962,538.6610748810801,-1899.3299830859366,1281.916494179091,496.5886777162307,0.9704309672630859,15.0,21.0,25.0,20.0,19.0
31,-1846.839640827217,1334.455593884811,469.40625,-1897.6367462388812,1283.6113038470173,495.7118252092555,0.9694605362958227,16.0,19.0,20.0,23.0,22.0
32,-1751.058590553656,1230.5784139929196,482.7304737999052,-1893.0561788737177,1281.9540260390766,495.3061579777133,0.9684910757595269,21.0,20.0,17.0,25.0,17.0
33,-1991.9602485065327,1300.2457079614505,525.0916865643577,-1896.053271892894,1282.5083194306635,496.2087497530662,0.9675225846837673,16.0,21.0,23.0,23.0,17.0
34,-1927.0607022172424,1338.237422112678,510.9769827768808,-1896.9652551377276,1284.1474106860169,496.64310954788425,0.9665550620990835,13.0,21.0,21.0,24.0,21.0
35,-2005.5710849822185,1219.0237617224254,501.01022640955017,-1900.0682788475704,1282.286735001343,496.76788431536045,0.9655885070369844,23.0,19.0,14.0,25.0,19.0
36,-2108.6211197849725,1261.6872616882026,542.0978423804594,-1905.8614133180538,1281.7145274093114,498.02704981716874,0.9646229185299474,14.0,25.0,19.0,19.0,23.0
